name:es_aa,name:es_var,type_var,2014
Belice,Es...Average retail electricity prices,ind,0.076
Belice,Es...Average residential electricity prices,ind,0.0
Belice,Es...Average commercial electricity prices,ind,0.0
Belice,Es...Average industrial electricity prices,ind,0.0
Belice,Es...Average kerosene prices,ind,0.0
Belice,Es...Average diesel prices,ind,0.0
Belice,Es...Growth rate of power demand,ind,0.0
Belice,Es...Electrification rate,ind,0.002
Belice,Es...Population using solid fuels for cooking,ind,0.0
Belice,Financiamiento y Inversión,param,0.674
Belice,Es...Clean energy investments,ind,0.124
Belice,Es...Growth rate of clean energy investments,ind,0.0
Belice,Es...Asset finance investments,ind,0.0
Belice,Es...Corporate finance investments,ind,0.0
Belice,Es...VC/PE investments,ind,0.0
Belice,"Es...Loans, grants, grant programs",ind,0.0
Belice,Es...Local investments,ind,0.0
Belice,Es...Number of Green MFI,ind,0.0
Belice,Es...Green micro-loans,ind,0.0
Belice,Es...Green micro-borrowers,ind,0.0
Belice,Es...Average cost of green micro debt,ind,0.0
Belice,Es...Average cost of debt,ind,0.047
Belice,Es...Swap rate,ind,0.032
Belice,Cadenas de valor,param,0.632
Belice,Es...Financial institutions in clean energy,ind,0.075
Belice,Es...Value chains by clean energy sector,ind,0.02
Belice,Es...Distributed clean energy value chains by sector,ind,0.0
Belice,Es...Clean energy service providers,ind,0.0
Belice,Es...Distributed clean energy service providers,ind,0.0
Belice,Gestión de GEI,param,1.053
Belice,Es...Carbon offsets historical activity,ind,0.075
Belice,Es...CDM risk,ind,0.0
Belice,Es...Carbon offsets future potential,ind,0.008
Belice,Es...GHG emissions reduction target,ind,0.0
Belice,Es...GHG country registry,ind,0.0
Belice,Es...GHG market-based instruments,ind,0.0
Belice,Es...PMR & NAMA,ind,0.0
Belice,Es...Voluntary GHG reporting by corporates,ind,0.0
Belice,Es...Investor pressure – PRI signatories,ind,0.0
Belice,Es...Corporate energy efficiency initiatives,ind,0.0
Belice,Es...Corporate emission reduction policies,ind,0.0
